"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
"251424545948242568","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","5390.00","1","SN23E831TI","","","","",""
"232930662737750588","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","",""
"234920448750893335","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","",""
"231407042650501168","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体 家用多功能烤箱蒸箱","12990.00","1","CP565AGS0W","颜色分类：不锈钢色","","","","CP565AGS0W"
"229328271016709117","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","",""
"223298031119613504","【焕新价】SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","9390.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","","LC45SK95EWzzER77K233MP"
"233562178912296029","SIEMENS/西门子 SN53E531TI嵌入式全自动洗碗机家用高温刷碗机","6590.00","1","SN53E531TI","","","","付款以前，卖家或买家主动关闭交易",""
"233562178911296029","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1299.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AEUBI—SN555S03JC门板","","","付款以前，卖家或买家主动关闭交易","SZ06AEUBI"
"236084462588768812","【会员专享】勃兰匠记小工具盒3件套（限会员积分兑换单拍无效）","280.00","1","COUPON24","","","","等待买家确认收货，卖家已发货",""
"251608770748572455","SIEMENS/西门子950+233+601 时尚侧吸烟灶消毒柜套餐烟灶消三件套","7290.00","1","LS66AA950WzzER71F233MPzzHS243601W","颜色分类：黑;燃料种类：天然气","","","等待买家付款","LS66AA950WzzER71F233MPzzHS243601W"
"233088517447007089","SIEMENS/西门子 565+636 微蒸烤一体机/全嵌式13套洗碗机烤箱套餐","14380.00","1","CP565AGS0WzzSJ636X01JC","","","","等待买家付款",""
"239517548375927115","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","",""
"233213830934148680","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"243095872643607842","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","交易成功",""
"239506828924392004","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","5380.00","1","HB133JBS0W","颜色分类：不锈钢色","","","等待买家付款","HB133JBS0W"
"233079109413185896","SIEMENS/西门子 HF15G561W嵌入式微波炉烧烤烤箱家用内嵌多功能","2260.00","1","HF15G561W","颜色分类：不锈钢色","","","","HF15G561W"
